,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
0,1,0.045087999999999996,50.4556422995032,265.875088715401,0.263470440805908,0.2207513104570185,-0.2169554390028457,0.8312935059634514,254.0,254.0,254.0,139.74769339957416,139.74769339957416,139.74769339957416,0.0,0.0,0.0
1,2,0.033184,170.43105110896818,259.11041465766635,0.29846436633350815,0.1449854823619476,0.5557880445489268,0.7979209229614209,253.0,253.0,253.0,123.74445515911283,123.74445515911283,123.74445515911283,0.0,0.0,0.0
2,3,0.036656,194.51200349192493,218.16717590571804,0.2639331984956757,0.184079386584147,-0.9536042129706372,0.7768326112068523,254.0,254.0,254.0,155.9899607158446,155.9899607158446,155.9899607158446,0.0,0.0,0.0
3,4,0.23790399999999998,303.1140628152532,1158.4694330486248,0.597741834527435,0.5172555120409937,-0.9938282944500434,2.065096679918781,254.0,254.0,254.0,195.29706099939472,195.29706099939472,195.29706099939472,0.0,0.0,0.0
4,5,0.057184,318.13850027979856,114.84443200895355,0.28522155425439005,0.26172734876040255,1.2872049838086546,0.9372346314604058,254.0,254.0,254.0,168.67571348628988,168.67571348628988,168.67571348628988,0.0,0.0,0.0
5,6,0.065424,391.66788945952555,299.6969919295671,0.3647669414619965,0.2341718755416061,0.3923497633930148,1.0472935059634516,254.0,254.0,254.0,162.72364881389092,162.72364881389092,162.72364881389092,0.0,0.0,0.0
6,7,0.029807999999999998,507.6360708534622,294.9071390230811,0.20103780012266584,0.19382479840246544,0.22517633516412586,0.6678132752230961,254.0,254.0,254.0,145.447128287708,145.447128287708,145.447128287708,0.0,0.0,0.0
7,8,0.124896,483.2737637714579,887.0604663079682,0.4369946763352042,0.37495316018424996,0.9521948066308769,1.4891656556895934,254.0,254.0,254.0,200.22802972072765,200.22802972072765,200.22802972072765,0.0,0.0,0.0
8,9,0.037168,473.60869565217394,334.15281962978906,0.2497606889150058,0.1946751905397755,0.6022798421684032,0.7686660889654819,254.0,254.0,254.0,150.9220835126991,150.9220835126991,150.9220835126991,0.0,0.0,0.0
9,10,0.02464,516.2733766233766,524.672077922078,0.1806955483102313,0.17508800343644831,-1.1680098926021345,0.5919310242291876,254.0,254.0,254.0,146.30584415584417,146.30584415584417,146.30584415584417,0.0,0.0,0.0
10,11,0.041408,553.5633693972179,280.20208655332306,0.27653648710144163,0.19641987824963217,-1.3735363241765932,0.810842712474619,254.0,254.0,254.0,163.86514683153013,163.86514683153013,163.86514683153013,0.0,0.0,0.0
11,12,0.024319999999999998,571.5098684210526,556.0769736842105,0.20132398518492486,0.156204979057439,0.7693698330963306,0.6014701294725885,254.0,254.0,254.0,152.26776315789473,152.26776315789473,152.26776315789473,0.0,0.0,0.0
12,13,0.054928,690.9140693271191,895.8799883483833,0.28600620220020206,0.2469627523524485,1.1987292310228475,0.9264894654563447,254.0,254.0,254.0,167.51500145645207,167.51500145645207,167.51500145645207,0.0,0.0,0.0
13,14,0.04056,663.367258382643,142.36686390532543,0.2767571720768642,0.19242097461114466,0.261038602064143,0.82038181771802,253.0,253.0,253.0,144.3207100591716,144.3207100591716,144.3207100591716,0.0,0.0,0.0
