,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
0,1,0.221712,550.1279497726781,531.9603088691636,0.6154354355158117,0.4687352067531025,-0.3186761492559365,1.8894987001723342,150.0,150.0,150.0,127.8944937576676,127.8944937576676,127.8944937576676,0.0,0.0,0.0
1,2,0.425296,521.770813739137,679.264324141304,0.8270220003899272,0.6799973921910224,-0.8148512942408801,2.7083414126469534,150.0,150.0,150.0,124.53985929799481,124.53985929799481,124.53985929799481,0.0,0.0,0.0
2,3,0.292768,378.65018034757895,625.291616570117,0.6905136798943878,0.5489945448738229,-0.4540042500414256,2.2116063479106587,150.0,150.0,150.0,129.6302328123292,129.6302328123292,129.6302328123292,0.0,0.0,0.0
3,4,0.17496,309.6241426611797,526.1866483767718,0.5756607317958095,0.4090893164329538,0.40774058781312256,1.7597240969167505,150.0,150.0,150.0,126.82688614540466,126.82688614540466,126.82688614540466,0.0,0.0,0.0
4,5,0.13014399999999998,431.13658716498645,508.66486353577574,0.4433423249968831,0.38287975799370844,0.8928909759352613,1.4163616151824867,150.0,150.0,150.0,127.95586427342022,127.95586427342022,127.95586427342022,0.0,0.0,0.0
5,6,0.23638399999999998,350.0027751455259,420.86049817246516,0.5956025358490918,0.5106768983103355,0.2711438310462494,1.9667535341682734,150.0,150.0,150.0,119.4114660890754,119.4114660890754,119.4114660890754,0.0,0.0,0.0
6,7,0.270992,383.7867390919289,285.1307787683769,0.6465235176778402,0.5463928203947845,-1.5354444269450962,2.1564103884177657,150.0,150.0,150.0,127.58953769852985,127.58953769852985,127.58953769852985,0.0,0.0,0.0
7,8,0.315232,248.37199269109735,292.7771799817277,0.7083061425740999,0.576307765757631,-1.4106318632212624,2.2202438661763955,150.0,150.0,150.0,124.34834027002334,124.34834027002334,124.34834027002334,0.0,0.0,0.0
8,9,0.385888,93.78372999419521,403.3880918815822,0.8463652263905768,0.5954512159384036,0.26644692990244906,2.5495474734076136,150.0,150.0,150.0,125.56016253420681,125.56016253420681,125.56016253420681,0.0,0.0,0.0
9,10,0.331968,91.98366107576634,546.3811451706189,0.7045279857007967,0.6182287549383689,-0.3745316576928056,2.3365281374238567,150.0,150.0,150.0,126.281328320802,126.281328320802,126.281328320802,0.0,0.0,0.0
10,11,0.242448,210.74387909984821,580.29591500033,0.7270206664224289,0.45051091266122895,-1.3542427290570231,2.089831744655075,150.0,150.0,150.0,127.56358476869266,127.56358476869266,127.56358476869266,0.0,0.0,0.0
11,12,0.176208,215.9377099791156,736.8921274856987,0.574114260233542,0.4103500989673052,0.7898747289877615,1.7461362184380702,150.0,150.0,150.0,121.68319259057478,121.68319259057478,121.68319259057478,0.0,0.0,0.0
12,13,0.0812,263.34738916256157,658.6997044334976,0.3718526349306656,0.2950486154642081,-0.30951861544073717,1.1851656556895933,150.0,150.0,150.0,118.5064039408867,118.5064039408867,118.5064039408867,0.0,0.0,0.0
13,14,0.070016,287.7017824497258,720.0271937842779,0.38632672857029693,0.34354919294278974,0.5108456115582614,1.5135920625607862,150.0,150.0,150.0,118.1286563071298,118.1286563071298,118.1286563071298,0.0,0.0,0.0
14,15,0.21159999999999998,378.17489603024575,761.0778827977316,0.588478023601924,0.4885897644186244,0.016414963591313118,1.885047906683502,150.0,150.0,150.0,125.98918714555765,125.98918714555765,125.98918714555765,0.0,0.0,0.0
15,16,0.24523199999999998,365.93612579108765,865.1193971422979,0.6716276240145989,0.4812447712950032,0.06982881307560428,2.021047906683502,150.0,150.0,150.0,128.19514582110003,128.19514582110003,128.19514582110003,0.0,0.0,0.0
16,17,0.252672,119.97973657548125,268.9708080040527,0.5913716824101201,0.5734097981358012,-0.2976679558047494,2.3386357851621815,150.0,150.0,150.0,124.4047619047619,124.4047619047619,124.4047619047619,0.0,0.0,0.0
17,18,0.127744,524.4532815631262,795.4571643286573,0.6374478947996871,0.26295651138834625,-0.3885241185809247,1.736528137423857,150.0,150.0,150.0,123.51816132264528,123.51816132264528,123.51816132264528,0.0,0.0,0.0
18,19,0.49646399999999996,587.872216313771,881.3773888942602,0.9199372608962705,0.7541239143011832,-0.8861603651453916,3.0296450198781715,150.0,150.0,150.0,125.78948725385929,125.78948725385929,125.78948725385929,0.0,0.0,0.0
19,20,0.138656,667.523886452804,418.2115162704823,0.44586612563007944,0.41224448545587844,1.4117017897265611,1.5587535341682732,150.0,150.0,150.0,123.04650357719825,123.04650357719825,123.04650357719825,0.0,0.0,0.0
20,21,0.240752,761.556190602778,363.21831594337743,0.649340217480607,0.4941549425249156,1.5001001064458799,2.0157240969167503,150.0,150.0,150.0,122.09849139363328,122.09849139363328,122.09849139363328,0.0,0.0,0.0
21,22,0.35888,704.1927775300936,604.6636647347302,0.8286769422843002,0.5698703199719426,-0.027105247682496548,2.536792206135786,150.0,150.0,150.0,125.55648684797147,125.55648684797147,125.55648684797147,0.0,0.0,0.0
22,23,0.122128,723.7269749770733,505.34442552076507,0.5318634824663379,0.31241670331193283,0.4783128567179396,1.5096164491784256,150.0,150.0,150.0,115.19350189964628,115.19350189964628,115.19350189964628,0.0,0.0,0.0
23,24,0.04384,795.5967153284671,483.2748175182482,0.3616544493718837,0.15743151118048263,-1.3988626078440272,0.9070092347159895,150.0,150.0,150.0,107.82919708029198,107.82919708029198,107.82919708029198,0.0,0.0,0.0
