,area,perimeter,major_axis_length,minor_axis_length,orientation
0,2913.0165289256197,212.3761312661224,67.85897736467633,56.59744065687449,-0.2567550198256009
1,5177.272727272727,293.6539418034147,96.17080089421675,72.20582741877767,0.6475715833279303
2,1539.8760330578511,173.1449231456217,68.69522549104673,29.51965522262123,1.0308058343104805
3,18409.297520661155,572.9340807140628,208.81018783118554,118.91648277050695,0.02479491637996095
4,34159.917355371894,727.5049515823426,239.05269729848658,185.82733940536977,0.2942896513636619
5,39968.38842975206,871.034270667714,298.72181619974185,179.5707781623452,-0.8315749030015155
6,10214.87603305785,398.3507802046605,134.3515533714718,98.36440949546807,0.5117232172595964
7,11078.099173553717,421.0480451237596,148.45322242117692,96.23653442921749,-1.1682833045318457
8,22634.917355371897,637.0840544935679,203.1068982145356,155.80885474743965,-0.29234608217270924
9,16575.82644628099,536.9972777394725,187.15961292512822,116.65620361486617,0.4237612362825548
10,42651.44628099173,845.3748190818811,270.58280082054733,205.17352525058732,-0.6539989948924081
11,13867.768595041322,541.3097202009687,207.71800438366677,93.54205085770303,-1.2122834508126603
12,12948.140495867767,533.1168171929509,167.93327765783266,117.34149921066111,1.5354197868104977
13,13352.89256198347,512.4093857447216,166.46112046324976,110.48273966797733,-0.9008941748250869
14,8845.86776859504,399.82375686196343,149.2951443424537,79.09511080346937,-0.2277467901226576
15,12370.247933884297,457.1219004575159,175.4472127295876,91.27713761162772,0.653656819668388
16,12565.495867768594,483.7628882099097,137.5951852962065,127.79457777014017,-0.6262658229314029
17,15710.123966942147,597.1029774755418,235.11761100749115,92.74108922127606,-1.3404776651281598
18,5858.884297520661,306.32769225519127,104.12443024294228,72.52879229365944,0.7772520190942884
19,14950.619834710742,536.3664891468906,177.98380751729826,117.14694020605381,-0.7659510890859579
20,24142.76859504132,687.4338511397956,251.46875687724625,130.02738508209146,-1.345312492818432
21,6666.115702479338,323.0000326306817,96.91992174736833,88.92660158241814,0.4752837591759619
22,9939.256198347106,419.73563529294506,138.2992852150824,97.08866759398293,1.192726708751195
23,14577.479338842973,498.864390347802,155.09802172870005,123.97191059818145,1.154187561254805
24,7751.0330578512385,374.87039190943676,143.86693381421728,70.03836111365597,-0.909916663045175
25,13504.958677685949,478.9635967430201,164.76077172541204,107.78412203535798,-1.5514482251228798
26,29368.388429752064,760.099763435798,287.26774357812144,140.84549048253837,-0.31387018121475374
27,8097.314049586776,358.92575077907225,115.41595027607296,91.63152065042844,-0.9763677409835737
28,12428.719008264461,513.7674796952582,166.80652231894595,103.69284448495932,1.482664382763896
29,3218.5950413223136,243.31982146873548,85.37984450634501,50.89045373071494,0.6036450687424538
30,8785.537190082643,361.7065457818411,111.13233402663593,102.517400456191,0.22496858850028967
31,20340.289256198346,598.6438079049663,205.9907091189026,130.69531805842368,1.11873846741285
32,17335.12396694215,532.6899838039049,192.6101937276643,116.56447320795158,0.5210254194620114
33,19246.280991735533,550.8685553152974,193.02138330999753,128.80463962708654,0.8530486920172007
34,15459.504132231403,551.6562701767706,171.10898455009655,131.78461572015047,-0.9503772405587546
35,16767.76859504132,542.3858712773992,168.84735075579127,131.30527274733515,-0.6340153286121811
36,13098.140495867767,458.5256785277743,139.3206657628694,125.07199149621592,0.6607488197377388
37,7906.198347107437,377.0272855476463,126.54869374306493,85.59880593326763,-1.4680305400071814
38,35191.115702479336,810.707988488809,301.17765063809424,156.56773236086752,-0.034159606532573515
39,590.2892561983471,92.91325587658625,33.034642913301745,22.901054220437604,-1.2627552741003036
40,38637.39669421487,830.9631702251669,244.79396658541432,221.0675775921688,0.4025672160086838
41,4862.190082644627,292.0152497936951,103.04768734203748,62.01191746265573,0.3256045808378103
42,8792.975206611569,434.4213888679912,173.05806371707607,66.54791555886352,-0.8123948504436448
43,7860.330578512396,382.8929880796894,143.9779880142229,74.33142779726593,-1.4154456637609278
44,9823.553719008263,461.8768526196063,172.7808449269024,78.49184976372098,1.3244690043281122
